financial_year,sending_location,age_group,stay_type,nclient,nclient_scotland,rate_per_1000,scotland_rate,,
2018/19,West Dunbartonshire,18+ years,Long Stay,845,45845,11.8,10.4,,
2018/19,West Dunbartonshire,18-64 years,All Stays,65,5620,1.2,1.7,,
2018/19,West Dunbartonshire,18-64 years,Short Stay / Respite,0,1410,0,0.4,,
2018/19,West Dunbartonshire,18-64 years,Long Stay,65,4210,1.2,1.2,,
2018/19,West Dunbartonshire,65+ years,All Stays,805,45980,49,44.8,,
2018/19,West Dunbartonshire,65+ years,Short Stay / Respite,25,4345,1.5,4.2,,
2018/19,West Dunbartonshire,65+ years,Long Stay,780,41635,47.5,40.6,,
2018/19,West Lothian,18+ years,All Stays,1340,51605,9.4,11.7,,
2018/19,West Lothian,18+ years,Short Stay / Respite,180,5760,1.3,1.3,,
2018/19,West Lothian,18+ years,Long Stay,1160,45845,8.1,10.4,,
2018/19,West Lothian,18-64 years,All Stays,235,5620,2.1,1.7,,
2018/19,West Lothian,18-64 years,Short Stay / Respite,95,1410,0.8,0.4,,
2018/19,West Lothian,18-64 years,Long Stay,140,4210,1.2,1.2,,
2018/19,West Lothian,65+ years,All Stays,1105,45980,37.1,44.8,,
2018/19,West Lothian,65+ years,Short Stay / Respite,85,4345,2.9,4.2,,
2018/19,West Lothian,65+ years,Long Stay,1020,41635,34.2,40.6,,
2019/20,Scotland (All Areas Submitted),18+ years,All Stays,61926,61926,11.7,11.7,,
2019/20,Scotland (All Areas Submitted),18+ years,Short Stay / Respite,6912,6912,1.3,1.3,,
2019/20,Scotland (All Areas Submitted),18+ years,Long Stay,55014,55014,10.4,10.4,,
2019/20,Scotland (All Areas Submitted),18-64 years,All Stays,6744,6744,1.7,1.7,,
2019/20,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,1692,1692,0.4,0.4,,
2019/20,Scotland (All Areas Submitted),18-64 years,Long Stay,5052,5052,1.2,1.2,,
2019/20,Scotland (All Areas Submitted),65+ years,All Stays,55176,55176,44.8,44.8,,
2019/20,Scotland (All Areas Submitted),65+ years,Short Stay / Respite,5214,5214,4.2,4.2,,
2019/20,Scotland (All Areas Submitted),65+ years,Long Stay,49962,49962,40.6,40.6,,
2019/20,Aberdeen City,18+ years,All Stays,3012,61926,13.3,11.7,,
2019/20,Aberdeen City,18+ years,Short Stay / Respite,480,6912,2.1,1.3,,
2019/20,Aberdeen City,18+ years,Long Stay,2526,55014,11.1,10.4,,
2019/20,Aberdeen City,18-64 years,All Stays,516,6744,2.8,1.7,,
2019/20,Aberdeen City,18-64 years,Short Stay / Respite,150,1692,0.8,0.4,,
2019/20,Aberdeen City,18-64 years,Long Stay,366,5052,2,1.2,,
2019/20,Aberdeen City,65+ years,All Stays,2496,55176,58.5,44.8,,
2019/20,Aberdeen City,65+ years,Short Stay / Respite,336,5214,7.9,4.2,,
2019/20,Aberdeen City,65+ years,Long Stay,2160,49962,50.7,40.6,,
2019/20,Aberdeenshire,18+ years,All Stays,3240,61926,13.1,11.7,,
2019/20,Aberdeenshire,18+ years,Short Stay / Respite,498,6912,2,1.3,,
2019/20,Aberdeenshire,18+ years,Long Stay,2736,55014,11,10.4,,
2019/20,Aberdeenshire,18-64 years,All Stays,378,6744,2,1.7,,
2019/20,Aberdeenshire,18-64 years,Short Stay / Respite,96,1692,0.5,0.4,,
2019/20,Aberdeenshire,18-64 years,Long Stay,282,5052,1.5,1.2,,
2019/20,Aberdeenshire,65+ years,All Stays,2862,55176,47.9,44.8,,
2019/20,Aberdeenshire,65+ years,Short Stay / Respite,402,5214,6.7,4.2,,
2019/20,Aberdeenshire,65+ years,Long Stay,2454,49962,41.1,40.6,,
2019/20,Angus,18+ years,All Stays,1944,61926,17.2,11.7,,
2019/20,Angus,18+ years,Short Stay / Respite,396,6912,3.5,1.3,,
2019/20,Angus,18+ years,Long Stay,1548,55014,13.7,10.4,,
2019/20,Angus,18-64 years,All Stays,174,6744,2.2,1.7,,
2019/20,Angus,18-64 years,Short Stay / Respite,60,1692,0.7,0.4,,
2019/20,Angus,18-64 years,Long Stay,120,5052,1.5,1.2,,
2019/20,Angus,65+ years,All Stays,1764,55176,53.9,44.8,,
2019/20,Angus,65+ years,Short Stay / Respite,336,5214,10.3,4.2,,
2019/20,Angus,65+ years,Long Stay,1428,49962,43.6,40.6,,
2019/20,Argyll and Bute,18+ years,All Stays,1056,61926,12.3,11.7,,
2019/20,Argyll and Bute,18+ years,Short Stay / Respite,60,6912,0.7,1.3,,
2019/20,Argyll and Bute,18+ years,Long Stay,996,55014,11.6,10.4,,
2019/20,Argyll and Bute,18-64 years,All Stays,90,6744,1.5,1.7,,
2019/20,Argyll and Bute,18-64 years,Short Stay / Respite,6,1692,0.1,0.4,,
2019/20,Argyll and Bute,18-64 years,Long Stay,84,5052,1.4,1.2,,
2019/20,Argyll and Bute,65+ years,All Stays,966,55176,36.7,44.8,,
2019/20,Argyll and Bute,65+ years,Short Stay / Respite,54,5214,2,4.2,,
2019/20,Argyll and Bute,65+ years,Long Stay,912,49962,34.6,40.6,,
2019/20,City of Edinburgh,18+ years,All Stays,4662,61926,9,11.7,,
2019/20,City of Edinburgh,18+ years,Short Stay / Respite,282,6912,0.5,1.3,,
2019/20,City of Edinburgh,18+ years,Long Stay,4374,55014,8.4,10.4,,
2019/20,City of Edinburgh,18-64 years,All Stays,360,6744,0.8,1.7,,
2019/20,City of Edinburgh,18-64 years,Short Stay / Respite,36,1692,0.1,0.4,,
2019/20,City of Edinburgh,18-64 years,Long Stay,324,5052,0.8,1.2,,
2019/20,City of Edinburgh,65+ years,All Stays,4296,55176,45.9,44.8,,
2019/20,City of Edinburgh,65+ years,Short Stay / Respite,246,5214,2.6,4.2,,
2019/20,City of Edinburgh,65+ years,Long Stay,4050,49962,43.2,40.6,,
2019/20,Clackmannanshire,18+ years,All Stays,504,61926,10.2,11.7,,
2019/20,Clackmannanshire,18+ years,Short Stay / Respite,60,6912,1.2,1.3,,
2019/20,Clackmannanshire,18+ years,Long Stay,444,55014,9,10.4,,
2019/20,Clackmannanshire,18-64 years,All Stays,90,6744,2.4,1.7,,
2019/20,Clackmannanshire,18-64 years,Short Stay / Respite,6,1692,0.2,0.4,,
2019/20,Clackmannanshire,18-64 years,Long Stay,84,5052,2.3,1.2,,
2019/20,Clackmannanshire,65+ years,All Stays,414,55176,33.7,44.8,,
2019/20,Clackmannanshire,65+ years,Short Stay / Respite,54,5214,4.4,4.2,,
