time_period,financial_quarter,sending_location,age_group,level_of_service,hours_order,nclient,percentage
Financial Quarter,2019/20 Q1,Aberdeenshire,85+ years,10+ hours,4,385,35.8
Financial Quarter,2019/20 Q1,Aberdeenshire,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Aberdeenshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q1,Aberdeenshire,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,All Ages,0 - <2 hours,1,290,11.5
Financial Quarter,2019/20 Q2,Aberdeenshire,All Ages,2 - <4 hours,2,505,20
Financial Quarter,2019/20 Q2,Aberdeenshire,All Ages,4 - <10 hours,3,865,34.2
Financial Quarter,2019/20 Q2,Aberdeenshire,All Ages,10+ hours,4,870,34.4
Financial Quarter,2019/20 Q2,Aberdeenshire,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Aberdeenshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,18-64 years,0 - <2 hours,1,30,9.2
Financial Quarter,2019/20 Q2,Aberdeenshire,18-64 years,2 - <4 hours,2,60,18.5
Financial Quarter,2019/20 Q2,Aberdeenshire,18-64 years,4 - <10 hours,3,110,33.8
Financial Quarter,2019/20 Q2,Aberdeenshire,18-64 years,10+ hours,4,125,38.5
Financial Quarter,2019/20 Q2,Aberdeenshire,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Aberdeenshire,65-74 years,0 - <2 hours,1,25,7.4
Financial Quarter,2019/20 Q2,Aberdeenshire,65-74 years,2 - <4 hours,2,75,22.1
Financial Quarter,2019/20 Q2,Aberdeenshire,65-74 years,4 - <10 hours,3,115,33.8
Financial Quarter,2019/20 Q2,Aberdeenshire,65-74 years,10+ hours,4,125,36.8
Financial Quarter,2019/20 Q2,Aberdeenshire,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Aberdeenshire,75-84 years,0 - <2 hours,1,105,12.7
Financial Quarter,2019/20 Q2,Aberdeenshire,75-84 years,2 - <4 hours,2,175,21.2
Financial Quarter,2019/20 Q2,Aberdeenshire,75-84 years,4 - <10 hours,3,285,34.5
