time_period,financial_quarter,sending_location,age_group,measure,value
Financial Quarter,2018/19 Q2,East Dunbartonshire,All Ages,Number of People,1600
Financial Quarter,2018/19 Q2,East Dunbartonshire,All Ages,Number of Hours,175820
Financial Quarter,2018/19 Q2,East Lothian,All Ages,"Rate per 1,000 Population",13.9
Financial Quarter,2018/19 Q2,East Lothian,All Ages,Number of People,1470
Financial Quarter,2018/19 Q2,East Lothian,All Ages,Number of Hours,266315
Financial Quarter,2018/19 Q2,East Renfrewshire,All Ages,"Rate per 1,000 Population",10.9
Financial Quarter,2018/19 Q2,East Renfrewshire,All Ages,Number of People,1040
Financial Quarter,2018/19 Q2,East Renfrewshire,All Ages,Number of Hours,92355
Financial Quarter,2018/19 Q2,Falkirk,All Ages,"Rate per 1,000 Population",12.7
Financial Quarter,2018/19 Q2,Falkirk,All Ages,Number of People,2040
Financial Quarter,2018/19 Q2,Falkirk,All Ages,Number of Hours,163350
Financial Quarter,2018/19 Q2,Fife,All Ages,"Rate per 1,000 Population",12
Financial Quarter,2018/19 Q2,Fife,All Ages,Number of People,4450
Financial Quarter,2018/19 Q2,Fife,All Ages,Number of Hours,761040
Financial Quarter,2018/19 Q2,Glasgow City,All Ages,"Rate per 1,000 Population",10.2
Financial Quarter,2018/19 Q2,Glasgow City,All Ages,Number of People,6370
Financial Quarter,2018/19 Q2,Glasgow City,All Ages,Number of Hours,610690
Financial Quarter,2018/19 Q2,Highland,All Ages,"Rate per 1,000 Population",8.9
Financial Quarter,2018/19 Q2,Highland,All Ages,Number of People,2095
Financial Quarter,2018/19 Q2,Highland,All Ages,Number of Hours,206595
Financial Quarter,2018/19 Q2,Inverclyde,All Ages,"Rate per 1,000 Population",17.5
Financial Quarter,2018/19 Q2,Inverclyde,All Ages,Number of People,1370
Financial Quarter,2018/19 Q2,Inverclyde,All Ages,Number of Hours,110755
Financial Quarter,2018/19 Q2,Midlothian,All Ages,"Rate per 1,000 Population",11.4
Financial Quarter,2018/19 Q2,Midlothian,All Ages,Number of People,1040
Financial Quarter,2018/19 Q2,Midlothian,All Ages,Number of Hours,107395
Financial Quarter,2018/19 Q2,Moray,All Ages,"Rate per 1,000 Population",12.2
Financial Quarter,2018/19 Q2,Moray,All Ages,Number of People,1170
Financial Quarter,2018/19 Q2,Moray,All Ages,Number of Hours,203755
Financial Quarter,2018/19 Q2,North Ayrshire,All Ages,"Rate per 1,000 Population",18.6
Financial Quarter,2018/19 Q2,North Ayrshire,All Ages,Number of People,2510
Financial Quarter,2018/19 Q2,North Ayrshire,All Ages,Number of Hours,368985
Financial Quarter,2018/19 Q2,North Lanarkshire,All Ages,"Rate per 1,000 Population",11.8
Financial Quarter,2018/19 Q2,North Lanarkshire,All Ages,Number of People,4005
Financial Quarter,2018/19 Q2,North Lanarkshire,All Ages,Number of Hours,386695
Financial Quarter,2018/19 Q2,Orkney Islands,All Ages,"Rate per 1,000 Population",9.9
Financial Quarter,2018/19 Q2,Orkney Islands,All Ages,Number of People,220
Financial Quarter,2018/19 Q2,Orkney Islands,All Ages,Number of Hours,20085
Financial Quarter,2018/19 Q2,Perth and Kinross,All Ages,"Rate per 1,000 Population",12
Financial Quarter,2018/19 Q2,Perth and Kinross,All Ages,Number of People,1815
Financial Quarter,2018/19 Q2,Perth and Kinross,All Ages,Number of Hours,246005
Financial Quarter,2018/19 Q2,Renfrewshire,All Ages,"Rate per 1,000 Population",13.6
Financial Quarter,2018/19 Q2,Renfrewshire,All Ages,Number of People,2425
Financial Quarter,2018/19 Q2,Renfrewshire,All Ages,Number of Hours,421715
Financial Quarter,2018/19 Q2,Scottish Borders,All Ages,"Rate per 1,000 Population",12.1
Financial Quarter,2018/19 Q2,Scottish Borders,All Ages,Number of People,1390
Financial Quarter,2018/19 Q2,Scottish Borders,All Ages,Number of Hours,120915
Financial Quarter,2018/19 Q2,Shetland,All Ages,"Rate per 1,000 Population",16.7
