time_period,financial_quarter,sending_location,age_group,measure,value,scotland_value
Financial Quarter,2017/18 Q4,East Dunbartonshire,All Ages,Number of Hours,162980,8347595
Financial Quarter,2017/18 Q4,East Dunbartonshire,0-17 years,"Rate per 1,000 Population",1.9,2.5
Financial Quarter,2017/18 Q4,East Dunbartonshire,0-17 years,Number of People,40,2560
Financial Quarter,2017/18 Q4,East Dunbartonshire,0-17 years,Number of Hours,7345,77010
Financial Quarter,2017/18 Q4,East Dunbartonshire,18-64 years,"Rate per 1,000 Population",2,4
Financial Quarter,2017/18 Q4,East Dunbartonshire,18-64 years,Number of People,125,13585
Financial Quarter,2017/18 Q4,East Dunbartonshire,18-64 years,Number of Hours,20335,3070630
Financial Quarter,2017/18 Q4,East Dunbartonshire,65-74 years,"Rate per 1,000 Population",14.4,20.2
Financial Quarter,2017/18 Q4,East Dunbartonshire,65-74 years,Number of People,180,11395
Financial Quarter,2017/18 Q4,East Dunbartonshire,65-74 years,Number of Hours,19305,1127500
Financial Quarter,2017/18 Q4,East Dunbartonshire,75-84 years,"Rate per 1,000 Population",71.6,64.7
Financial Quarter,2017/18 Q4,East Dunbartonshire,75-84 years,Number of People,580,21100
Financial Quarter,2017/18 Q4,East Dunbartonshire,75-84 years,Number of Hours,51080,1752045
Financial Quarter,2017/18 Q4,East Dunbartonshire,85+ years,"Rate per 1,000 Population",202.6,181.1
Financial Quarter,2017/18 Q4,East Dunbartonshire,85+ years,Number of People,630,22065
Financial Quarter,2017/18 Q4,East Dunbartonshire,85+ years,Number of Hours,64910,1933935
Financial Quarter,2017/18 Q4,East Dunbartonshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,East Dunbartonshire,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,East Dunbartonshire,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,East Lothian,All Ages,"Rate per 1,000 Population",13.8,12.5
Financial Quarter,2017/18 Q4,East Lothian,All Ages,Number of People,1450,67975
Financial Quarter,2017/18 Q4,East Lothian,All Ages,Number of Hours,258600,8347595
Financial Quarter,2017/18 Q4,East Lothian,0-17 years,"Rate per 1,000 Population",0.2,2.5
Financial Quarter,2017/18 Q4,East Lothian,0-17 years,Number of People,5,2560
Financial Quarter,2017/18 Q4,East Lothian,0-17 years,Number of Hours,1060,77010
Financial Quarter,2017/18 Q4,East Lothian,18-64 years,"Rate per 1,000 Population",5.9,4
Financial Quarter,2017/18 Q4,East Lothian,18-64 years,Number of People,370,13585
Financial Quarter,2017/18 Q4,East Lothian,18-64 years,Number of Hours,132200,3070630
Financial Quarter,2017/18 Q4,East Lothian,65-74 years,"Rate per 1,000 Population",16.9,20.2
Financial Quarter,2017/18 Q4,East Lothian,65-74 years,Number of People,195,11395
Financial Quarter,2017/18 Q4,East Lothian,65-74 years,Number of Hours,37635,1127500
Financial Quarter,2017/18 Q4,East Lothian,75-84 years,"Rate per 1,000 Population",60.2,64.7
Financial Quarter,2017/18 Q4,East Lothian,75-84 years,Number of People,410,21100
Financial Quarter,2017/18 Q4,East Lothian,75-84 years,Number of Hours,41435,1752045
Financial Quarter,2017/18 Q4,East Lothian,85+ years,"Rate per 1,000 Population",184.7,181.1
Financial Quarter,2017/18 Q4,East Lothian,85+ years,Number of People,465,22065
Financial Quarter,2017/18 Q4,East Lothian,85+ years,Number of Hours,46270,1933935
Financial Quarter,2017/18 Q4,East Lothian,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,East Lothian,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,East Lothian,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,East Renfrewshire,All Ages,"Rate per 1,000 Population",12.2,12.5
Financial Quarter,2017/18 Q4,East Renfrewshire,All Ages,Number of People,1160,67975
Financial Quarter,2017/18 Q4,East Renfrewshire,All Ages,Number of Hours,106350,8347595
Financial Quarter,2017/18 Q4,East Renfrewshire,0-17 years,"Rate per 1,000 Population",0,2.5
Financial Quarter,2017/18 Q4,East Renfrewshire,0-17 years,Number of People,0,2560
Financial Quarter,2017/18 Q4,East Renfrewshire,0-17 years,Number of Hours,0,77010
Financial Quarter,2017/18 Q4,East Renfrewshire,18-64 years,"Rate per 1,000 Population",2.6,4
Financial Quarter,2017/18 Q4,East Renfrewshire,18-64 years,Number of People,140,13585
Financial Quarter,2017/18 Q4,East Renfrewshire,18-64 years,Number of Hours,22565,3070630
Financial Quarter,2017/18 Q4,East Renfrewshire,65-74 years,"Rate per 1,000 Population",15.9,20.2
Financial Quarter,2017/18 Q4,East Renfrewshire,65-74 years,Number of People,155,11395
Financial Quarter,2017/18 Q4,East Renfrewshire,65-74 years,Number of Hours,14090,1127500
Financial Quarter,2017/18 Q4,East Renfrewshire,75-84 years,"Rate per 1,000 Population",62.4,64.7
Financial Quarter,2017/18 Q4,East Renfrewshire,75-84 years,Number of People,390,21100
Financial Quarter,2017/18 Q4,East Renfrewshire,75-84 years,Number of Hours,31020,1752045
Financial Quarter,2017/18 Q4,East Renfrewshire,85+ years,"Rate per 1,000 Population",178.6,181.1
Financial Quarter,2017/18 Q4,East Renfrewshire,85+ years,Number of People,480,22065
Financial Quarter,2017/18 Q4,East Renfrewshire,85+ years,Number of Hours,38670,1933935
Financial Quarter,2017/18 Q4,East Renfrewshire,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,East Renfrewshire,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,East Renfrewshire,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,Falkirk,All Ages,"Rate per 1,000 Population",16.8,12.5
Financial Quarter,2017/18 Q4,Falkirk,All Ages,Number of People,2690,67975
Financial Quarter,2017/18 Q4,Falkirk,All Ages,Number of Hours,316480,8347595
Financial Quarter,2017/18 Q4,Falkirk,0-17 years,"Rate per 1,000 Population",0.6,2.5
Financial Quarter,2017/18 Q4,Falkirk,0-17 years,Number of People,20,2560
Financial Quarter,2017/18 Q4,Falkirk,0-17 years,Number of Hours,2020,77010
Financial Quarter,2017/18 Q4,Falkirk,18-64 years,"Rate per 1,000 Population",7,4
Financial Quarter,2017/18 Q4,Falkirk,18-64 years,Number of People,695,13585
