financial_year,sending_location,option_type,nclient,rate
2015/16,Inverclyde,Option 4,160,2
2015/16,Midlothian,Option 1,130,1.5
2015/16,Midlothian,Option 2,150,1.7
2015/16,Midlothian,Option 3,2175,24.9
2015/16,Midlothian,Option 4,210,2.4
2015/16,Moray,Option 1,250,2.6
2015/16,Moray,Option 2,45,0.5
2015/16,Moray,Option 3,1385,14.5
2015/16,Moray,Option 4,90,0.9
2015/16,North Ayrshire,Option 1,200,1.5
2015/16,North Ayrshire,Option 2,5,0
2015/16,North Ayrshire,Option 3,1285,9.4
2015/16,North Ayrshire,Option 4,50,0.4
2015/16,North Lanarkshire,Option 1,200,0.6
2015/16,North Lanarkshire,Option 2,925,2.7
2015/16,North Lanarkshire,Option 3,55,0.2
2015/16,North Lanarkshire,Option 4,15,0
2015/16,Orkney Islands,Option 1,90,4.2
2015/16,Orkney Islands,Option 2,5,0.2
2015/16,Orkney Islands,Option 3,130,6
2015/16,Orkney Islands,Option 4,15,0.7
2015/16,Perth and Kinross,Option 1,220,1.5
2015/16,Perth and Kinross,Option 2,325,2.2
2015/16,Perth and Kinross,Option 3,4220,28.1
2015/16,Perth and Kinross,Option 4,330,2.2
2015/16,Renfrewshire,Option 1,50,0.3
2015/16,Renfrewshire,Option 2,45,0.3
2015/16,Renfrewshire,Option 3,515,3
2015/16,Renfrewshire,Option 4,55,0.3
2015/16,Scottish Borders,Option 1,270,2.4
2015/16,Scottish Borders,Option 2,5,0
2015/16,Scottish Borders,Option 3,420,3.7
2015/16,Scottish Borders,Option 4,60,0.5
2015/16,Shetland Islands,Option 1,30,1.3
2015/16,Shetland Islands,Option 2,0,0
2015/16,Shetland Islands,Option 3,0,0
2015/16,Shetland Islands,Option 4,0,0
2015/16,South Ayrshire,Option 1,100,0.9
2015/16,South Ayrshire,Option 2,5,0
2015/16,South Ayrshire,Option 3,2870,25.5
2015/16,South Ayrshire,Option 4,0,0
2015/16,South Lanarkshire,Option 1,290,0.9
2015/16,South Lanarkshire,Option 2,5,0
2015/16,South Lanarkshire,Option 3,565,1.8
2015/16,South Lanarkshire,Option 4,25,0.1
2015/16,Stirling,Option 1,90,1
2015/16,Stirling,Option 2,75,0.8
2015/16,Stirling,Option 3,1215,13.1
2015/16,Stirling,Option 4,65,0.7
2015/16,West Dunbartonshire,Option 1,90,1
2015/16,West Dunbartonshire,Option 2,5,0.1
2015/16,West Dunbartonshire,Option 3,0,0
2015/16,West Dunbartonshire,Option 4,5,0.1
2015/16,West Lothian,Option 1,180,1
2015/16,West Lothian,Option 2,855,4.8
2015/16,West Lothian,Option 3,1350,7.6
2015/16,West Lothian,Option 4,470,2.6
2016/17,Scotland (Estimated),Option 1,8300,1.5
2016/17,Scotland (Estimated),Option 2,6380,1.2
2016/17,Scotland (Estimated),Option 3,72685,13.4
2016/17,Scotland (Estimated),Option 4,3500,0.6
2016/17,Aberdeen City,Option 1,360,1.6
2016/17,Aberdeen City,Option 2,15,0.1
2016/17,Aberdeen City,Option 3,15,0.1
2016/17,Aberdeen City,Option 4,5,0
2016/17,Aberdeenshire,Option 1,560,2.1
2016/17,Aberdeenshire,Option 2,35,0.1
2016/17,Aberdeenshire,Option 3,4180,15.9
2016/17,Aberdeenshire,Option 4,295,1.1
2016/17,Angus,Option 1,60,0.5
2016/17,Angus,Option 2,160,1.4
2016/17,Angus,Option 3,875,7.5
2016/17,Angus,Option 4,40,0.3
2016/17,Argyll and Bute,Option 1,170,2
2016/17,Argyll and Bute,Option 2,15,0.2
2016/17,Argyll and Bute,Option 3,1015,11.6
2016/17,Argyll and Bute,Option 4,25,0.3
2016/17,City of Edinburgh,Option 1,1310,2.6
