financial_year,sending_location,measure,nclient,rate,scotland_nclient,scotland_rate
2020/21,Aberdeenshire,"Rate per 1,000 Population (adjusted)",9475,36.3,213790,39.112696670325654
2020/21,Angus,"Rate per 1,000 Population",6375,55,231925,42.43047932674716
2020/21,Angus,"Rate per 1,000 Population (adjusted)",6355,54.9,213790,39.112696670325654
2020/21,Argyll and Bute,"Rate per 1,000 Population",4250,49.7,231925,42.43047932674716
2020/21,Argyll and Bute,"Rate per 1,000 Population (adjusted)",4250,49.7,213790,39.112696670325654
2020/21,City of Edinburgh,"Rate per 1,000 Population",18360,34.8,231925,42.43047932674716
2020/21,City of Edinburgh,"Rate per 1,000 Population (adjusted)",16360,31,213790,39.112696670325654
2020/21,Clackmannanshire,"Rate per 1,000 Population",2790,54.4,231925,42.43047932674716
2020/21,Clackmannanshire,"Rate per 1,000 Population (adjusted)",2685,52.3,213790,39.112696670325654
2020/21,Comhairle nan Eilean Siar,"Rate per 1,000 Population",1810,68.3,231925,42.43047932674716
2020/21,Comhairle nan Eilean Siar,"Rate per 1,000 Population (adjusted)",1505,56.8,213790,39.112696670325654
2020/21,Dumfries and Galloway,"Rate per 1,000 Population",7375,49.7,231925,42.43047932674716
2020/21,Dumfries and Galloway,"Rate per 1,000 Population (adjusted)",7560,51,213790,39.112696670325654
2020/21,Dundee City,"Rate per 1,000 Population",9460,63.6,231925,42.43047932674716
2020/21,Dundee City,"Rate per 1,000 Population (adjusted)",8550,57.5,213790,39.112696670325654
2020/21,East Ayrshire,"Rate per 1,000 Population",6225,51.2,231925,42.43047932674716
2020/21,East Ayrshire,"Rate per 1,000 Population (adjusted)",5135,42.2,213790,39.112696670325654
2020/21,East Dunbartonshire,"Rate per 1,000 Population",6710,61.7,231925,42.43047932674716
2020/21,East Dunbartonshire,"Rate per 1,000 Population (adjusted)",5850,53.8,213790,39.112696670325654
2020/21,East Lothian,"Rate per 1,000 Population",3545,32.9,231925,42.43047932674716
2020/21,East Lothian,"Rate per 1,000 Population (adjusted)",2775,25.7,213790,39.112696670325654
2020/21,East Renfrewshire,"Rate per 1,000 Population",6065,63.1,231925,42.43047932674716
2020/21,East Renfrewshire,"Rate per 1,000 Population (adjusted)",4255,44.3,213790,39.112696670325654
2020/21,Falkirk,"Rate per 1,000 Population",8035,50,231925,42.43047932674716
2020/21,Falkirk,"Rate per 1,000 Population (adjusted)",7035,43.8,213790,39.112696670325654
2020/21,Fife,"Rate per 1,000 Population",16265,43.5,231925,42.43047932674716
2020/21,Fife,"Rate per 1,000 Population (adjusted)",16265,43.5,213790,39.112696670325654
2020/21,Glasgow City,"Rate per 1,000 Population",21635,34,231925,42.43047932674716
2020/21,Glasgow City,"Rate per 1,000 Population (adjusted)",21175,33.3,213790,39.112696670325654
2020/21,Highland,"Rate per 1,000 Population",8145,34.6,231925,42.43047932674716
2020/21,Highland,"Rate per 1,000 Population (adjusted)",8140,34.6,213790,39.112696670325654
2020/21,Inverclyde,"Rate per 1,000 Population",4180,54.2,231925,42.43047932674716
2020/21,Inverclyde,"Rate per 1,000 Population (adjusted)",3870,50.2,213790,39.112696670325654
2020/21,Midlothian,"Rate per 1,000 Population",3565,38.3,231925,42.43047932674716
2020/21,Midlothian,"Rate per 1,000 Population (adjusted)",3540,38,213790,39.112696670325654
2020/21,Moray,"Rate per 1,000 Population",3825,40,231925,42.43047932674716
2020/21,Moray,"Rate per 1,000 Population (adjusted)",3530,36.9,213790,39.112696670325654
2020/21,North Ayrshire,"Rate per 1,000 Population",7510,55.9,231925,42.43047932674716
2020/21,North Ayrshire,"Rate per 1,000 Population (adjusted)",7010,52.2,213790,39.112696670325654
2020/21,North Lanarkshire,"Rate per 1,000 Population",16150,47.3,231925,42.43047932674716
